source_id,tier,publisher,author_or_maintainer,title,url,domain,equipment,configuration,provenance_status,rights_status,retrieval_status,authority_status,scope_status,residual_status,manifest_path
p5-fr-air-rafale-m-dassault,A,Dassault Aviation,,Rafale — specifications and performance data (Marine context),https://www.dassault-aviation.com/en/defense/rafale/specifications-and-performance-data/,air,Rafale M,"Rafale Marine, single-seat carrier-capable mark. The source's common performance block is not presented as an M-only measurement.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/dassault_aviation/p5-fr-air-rafale-m-dassault/manifest.md
p5-fr-air-tigerhad-airbus,B,Airbus Helicopters,,Tiger HAD technical information brochure,https://mediaassets.airbus.com/pm_38_379_379510-6dwkt12akx.pdf?dl=true,air,Tiger / Tiger HAD,"Tiger HAD multi-role attack helicopter; HAP, UHT, ARH and Tiger MkIII upgrade-specific values are excluded.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/airbus/p5-fr-air-tigerhad-airbus/manifest.md
p5-fr-air-tigerhad-airbus-missions,B,Airbus Helicopters,,Tiger missions,https://www.airbus.com/en/products-services/helicopters/military-helicopters/tiger/tiger-missions,air,Tiger HAD,Tiger HAD mission and weapon page; HAP/UHT and Tiger MkIII-specific stores are excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/airbus/p5-fr-air-tigerhad-airbus-missions/manifest.md
p5-fr-air-tigerhad-airbus-retrofit,B,Airbus Helicopters,,First Tiger HAD retrofit delivered to the French Army Aviation,https://www.airbus.com/en/newsroom/press-releases/2017-12-first-tiger-had-retrofit-delivered-to-the-french-army-aviation,air,Tiger HAD,French Army Aviation Tiger HAD retrofit; programme/operator context only.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/airbus/p5-fr-air-tigerhad-airbus-retrofit/manifest.md
p5-fr-ground-caesar-knds,B,KNDS,,CAESAR 6x6 main specifications,https://backend.knds.com/uploads/K2_V_001_CAESAR_6_X6_EN_BAT_BDEF_91a6b0aeb4.pdf,ground,CAESAR 6x6,CAESAR 6x6 brochure; Mk II and 8x8 variants are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/knds/p5-fr-ground-caesar-knds/manifest.md
p5-fr-ground-caesar-official,A,French Ministry of the Armed Forces,,CAESAR artillery system,https://www.defense.gouv.fr/terre/nos-materiels/nos-equipements-terre/vehicules-larmee-terre/vehicules-dartillerie/caesar-camion-equipe-dun,ground,CAESAR Mk I / Mk IR,French CAESAR Mk I/Mk IR family context; CAESAR Mk II and CAESAR 8x8 are separate configurations.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/fr_ministry/p5-fr-ground-caesar-official/manifest.md
p5-fr-ground-caesar-wikipedia,C,Wikipedia community reference,,CAESAR self-propelled howitzer,https://en.wikipedia.org/wiki/CAESAR_self-propelled_howitzer,ground,CAESAR 6x6,Baseline CAESAR 6x6 public summary; Mk II and 8x8 values excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/wikipedia/p5-fr-ground-caesar-wikipedia/manifest.md
p5-fr-weapon-exocetmm40-mbda,C,MBDA France,MBDA Maritime product-information team,EXOCET MM40 BLOCK 3C datasheet,https://www.mbda-systems.com/sites/mbda/files/2024-11/2024-exocet-mm40-block-3c-datasheet.pdf,weapon,Exocet MM40 Block 3 / Block 3C,Surface-launched MM40 B3C technical baseline used to bound B3 missile body; later seeker/ECCM improvements are not silently back-projected,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/mbda/p5-fr-weapon-exocetmm40-mbda/manifest.md
p5-fr-weapon-exocetmm40-mindef,A,French Ministry of the Armed Forces / DGA,DGA public-information team,EXOCET MM40 Block 3C equipment page,https://www.defense.gouv.fr/en/exocet-mm40-block-3c,weapon,Exocet MM40 Block 3 (B3/B3C continuity),"French MM40 Block 3 family; Block 3C is retained only as a direct continuity cross-check, while AM39/SM39 and MM38/Block 2 excluded",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/ministere_des_armees/p5-fr-weapon-exocetmm40-mindef/manifest.md
p5-gb-ground-challenger2-british-army,A,British Army / UK Ministry of Defence,,Challenger 2 main battle tank,https://www.army.mod.uk/learn-and-explore/equipment/tanks/challenger-2/,ground,Challenger 2,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/uk_army/p5-gb-ground-challenger2-british-army/manifest.md
p5-gb-ground-challenger2-weaponspecs,C,,no individual author named; WeaponSpecs editorial team,"Rheinmetall BAE Systems Land Challenger 2, specs & comparison",https://www.weaponspecs.com/systems/rbsl/challenger-2/,ground,Challenger 2,"Challenger 2 current baseline as compiled by WeaponSpecs; Challenger 3, theatre-specific armour kits and refit-specific states are excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/weaponspecs/p5-gb-ground-challenger2-weaponspecs/manifest.md
p5-gb-ground-chieftainmk11-netmaquettes,C,Net-Maquettes,Net-Maquettes editorial team (individual author not stated),Chieftain Mk11 - Walk Around,https://www.net-maquettes.com/pictures/chieftain-mk11/,ground,Chieftain Mk11,"Mk11 walk-around page; dimensions and combat mass refer to a Stillbrew-equipped late vehicle, while historical engine/weapon values are summarized from public references.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/net_maquettes/p5-gb-ground-chieftainmk11-netmaquettes/manifest.md
p5-gb-ground-chieftainmk11-tankmuseum,B,"The Tank Museum, Bovington",The Tank Museum collections/editorial team,Chieftain,https://tankmuseum.org/tank-nuts/tank-collection/chieftain/,ground,FV4201 Chieftain Mark 11C,"Museum Mk11C, a Mk5-built hull upgraded with IFCS, TOGS and Stillbrew armor; museum vehicle condition is not a complete British Army issue state.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/tank_museum/p5-gb-ground-chieftainmk11-tankmuseum/manifest.md
p5-gb-ground-chieftainmk11-wikipedia,C,Wikipedia,Wikipedia contributors (page revision current at access),Chieftain (tank),https://en.wikipedia.org/wiki/Chieftain_(tank),ground,"Chieftain FV4201 family, Mk11-relevant Mk5-derived configuration",Historical family table; Mk1-5 values are not all Mk11-specific. Mk11 leaf uses only family values consistent with Mk5-derived late standard and marks them bounded.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/wikipedia/p5-gb-ground-chieftainmk11-wikipedia/manifest.md
p5-il-weapon-spike-lr2,B,Rafael Advanced Defense Systems,,SPIKE LR II,https://he.rafael.co.il/wp-content/uploads/2019/03/Spike-LR2.pdf,weapon,SPIKE LR II,SPIKE LR II ground-launch and helicopter-launch data; other SPIKE family members are excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/rafael/p5-il-weapon-spike-lr2/manifest.md
p5-it-air-tornadoids-ami,A,Aeronautica Militare Italiana,Italian Air Force public-affairs office,Tornado IDS,https://www.aeronautica.difesa.it/2023/09/tornado/,air,Panavia Tornado IDS,Italian IDS two-seat strike baseline; ADV and ECR variants excluded,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/aeronautica_militare/p5-it-air-tornadoids-ami/manifest.md
p5-kr-ground-k2-armyguide,C,Army Guide,no individual author named; Army Guide editorial/product database team; manufacturer data attributed to Rotem/ADD,K2 Black Panther main battle tank product entry,https://www.army-guide.com/eng/product.php?printmode=1&prodID=2311,ground,K2 Black Panther,"Production-ready K2 baseline and development-era technical narrative; early prototype and batch-specific claims are retained as alternates, not silently merged.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_guide/p5-kr-ground-k2-armyguide/manifest.md
p5-kr-ground-k2-hyundairotem,A,Hyundai Rotem,,K2 Main Battle Tank,https://www.hyundai-rotem.co.kr/en/business/defense/details.do?productCt03=defense0101,ground,K2 Black Panther,Republic of Korea baseline product page; export K2GF/K2PL and batch-specific supplier/armor options are not merged.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/hyundai_rotem/p5-kr-ground-k2-hyundairotem/manifest.md
p5-pk-weapon-rpg7-dgrde,A,"Directorate General Research and Development Establishment, Pakistan Ministry of Defence Production",,RPG-7 Rocket Launcher,https://rde.gov.pk/Detail/YzY4NTZiMDgtZTllZS00YmRkLTg4MWMtMjgwMmMyYjRjZjc2,weapon,RPG-7,RPG-7 launcher reference for Pakistan Army inventory; RPG-7V2 and ammunition variants are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/pakistan_dgrde/p5-pk-weapon-rpg7-dgrde/manifest.md
p5-ru-air-a50u-airforcetechnology,C,Airforce Technology,,A-50 Mainstay Airborne Early Warning and Control Aircraft (AEW&C),https://www.airforce-technology.com/projects/a50/,air,A-50 / A-50U,A-50U upgrade discussion and A-50 family mission system; export A-50EI and other variants are excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/airforce_technology/p5-ru-air-a50u-airforcetechnology/manifest.md
p5-ru-air-a50u-redstar,C,RedStar.gr aviation reference,,A-50 Mainstay Airborne early warning and control,https://www.redstar.gr/en/russian-aerial-means/aircraft/ilyushin/a-50-mainstay-airborne-early-warning-and-control.html,air,A-50 / A-50U,A-50 family carrier baseline used only for common airframe geometry and mission-aircraft context; A-50U-specific performance is taken from the separate Xinhua package. A-50EI and other export variants are excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-ru-air-a50u-redstar/manifest.md
p5-ru-air-a50u-xinhua,A,Xinhua News Agency,,"Russian A-50U early-warning aircraft reaches 7,500 km operational range",https://www.xinhuanet.com/mil/2016-07/30/c_129190592.htm,air,A-50 / A-50U,Russian A-50U upgrade; baseline A-50 and export A-50EI are excluded from the variant performance rows.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/xinhuanet/p5-ru-air-a50u-xinhua/manifest.md
p5-ru-air-il76md90a-encyclopedic,C,"English-language encyclopedic aviation entry, Ilyushin Il-76 article",article editors,Ilyushin Il-76 — specifications,https://en.wikipedia.org/wiki/Ilyushin_Il-76,air,Il-76 / Il-76MD-90A,"The page covers the whole Il-76 family. Its capacity line separates the marks explicitly, giving the Il-76M 42,000 kg, the Il-76MD 48,000 kg and the Il-76MD-90A 60,000 kg, and its maximum takeoff weight is labelled for the Il-76MD-90A.",manifest+retrieval+retention,not_recorded,partial,non-authoritative,complete,open,raw/sources/wikipedia/p5-ru-air-il76md90a-encyclopedic/manifest.md
p5-ru-air-il76md90a-roe,A,ROSOBORONEXPORT,,Il-76MD-90A,http://roe.ru/eng/catalog/aerospace-systems/military-transport/il-76md-90a,air,Il-76 / Il-76MD-90A,"The page states the role as a modernized military transport and describes the new-generation integrated flight, sighting and navigation system, and carries no specification table. It is admitted on the Il-76MD-90A leaf for the operator row and the role row only.",manifest+retrieval+retention,not_recorded,not_attempted,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-air-il76md90a-roe/manifest.md
p5-ru-air-il76md90a-ruaviation,C,"Russian Aviation, Russian aviation reference site",Russian Aviation editorial staff,Il-76MD-90A,https://www.ruaviation.com/docs/3/2017/4/3/133,air,Il-76 / Il-76MD-90A,"The page is specific to the Il-76MD-90A, the re-engined modernized military transport. The older Il-76MD and the Il-76TD-90 are separate configurations.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/russian_aviation/p5-ru-air-il76md90a-ruaviation/manifest.md
p5-ru-air-il76md90a-uac,B,"United Aircraft Corporation (UAC), Russia",,Il-76MD-90A / Il-78M-90A,https://uacrussia.ru/en/aircraft/lineup/l/IL-76MD-90A/,air,Il-76 / Il-76MD-90A,Il-76MD-90A modernized military transport. The adjacent Il-78M-90A tanker block on the same page is not merged into this leaf.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/uac/p5-ru-air-il76md90a-uac/manifest.md
p5-ru-air-ka52-redstar,C,RedStar.gr aviation reference,,Ka-52 Alligator Multipurpose assault helicopter,https://www.redstar.gr/en/russian-aerial-means/helicopters/russian-helicopters-kamov/ka-52-alligator-multipurpose-assault-helicopter.html,air,Ka-52,Ka-52 Alligator baseline attack helicopter; Ka-52K and Ka-52M-specific values are excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-ru-air-ka52-redstar/manifest.md
p5-ru-air-mi28nm-redstar,C,RedStar.gr aviation reference,,Mi-28NM Multipurpose attack helicopter,https://www.redstar.gr/en/russian-aerial-means/helicopters/russian-helicopters-mil/mi-28nm-multipurpose-attack-helicopter.html,air,Mi-28 / Mi-28NM,"Mi-28NM modernised attack helicopter; Mi-28N, Mi-28NE and export configurations are excluded.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-ru-air-mi28nm-redstar/manifest.md
p5-ru-air-mig29a-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team,MiG-29 Fulcrum Mikoyan technical data,https://www.armyrecognition.com/military-products/air/fighter/mig-29-fulcrum-mikoyan,air,MiG-29A (9.12A baseline),"Single-seat baseline MiG-29A/9.12A; MiG-29B, SE, SMT and M/M2 upgrades excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-ru-air-mig29a-armyrecognition/manifest.md
p5-ru-air-mig31b-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team,MiG-31 Foxhound Mikoyan technical data,https://www.armyrecognition.com/military-products/air/fighter/mig-31-foxhound-mikoyan,air,MiG-31B,"MiG-31B with upgraded Zaslon-M/digital datalink context; MiG-31BM, D, E and later missile refits excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-ru-air-mig31b-armyrecognition/manifest.md
p5-ru-air-mig31bm-redstar,C,RedStar.gr aviation reference,,MiG-31BM Foxhound Multipurpose fighter,https://www.redstar.gr/en/russian-aerial-means/aircraft/mikoyan-gurevich/mig-31bm-foxhound-multipurpose-fighter.html,air,MiG-31 / MiG-31BM,"MiG-31BM modernised interceptor and multirole fighter; MiG-31B, MiG-31K and export marks are excluded.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-ru-air-mig31bm-redstar/manifest.md
p5-ru-air-su27s-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team,Su-27 Flanker Sukhoi technical data,https://www.armyrecognition.com/military-products/air/fighter/su-27-flanker-sukhoi,air,Su-27S (Flanker-B),"Initial-production single-seat Su-27S with AL-31F, N001 radar and OLS-27; Su-27P, UB, SK and Su-35 derivatives excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-ru-air-su27s-armyrecognition/manifest.md
p5-ru-air-su30sme-roe,A,ROSOBORONEXPORT,,Su-30SME,https://roe.ru/pdfs/pdf_6932.pdf,air,Su-30SME export variant,Su-30SME export variant.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-air-su30sme-roe/manifest.md
p5-ru-air-su30sme-uac,B,"United Aircraft Corporation (UAC), Russia","UAC, the manufacturer group holding Sukhoi and Irkut","Su-30SME — model range, military aircraft",https://uacrussia.ru/en/aircraft/lineup/military/su-30sme,air,Su-30SME,The Su-30SME is the export designation of the Su-30SM family.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/uac/p5-ru-air-su30sme-uac/manifest.md
p5-ru-air-su34e-roe,A,ROSOBORONEXPORT,,Su-34E,https://roe.ru/pdfs/pdf_1959.pdf,air,Su-34E export variant; Russian service variant requires separate evidence,Su-34E export variant. Russian service Su-34 is a separate record.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-air-su34e-roe/manifest.md
p5-ru-air-su34e-uac,B,"United Aircraft Corporation (UAC), Russia",,Su-34,https://uacrussia.ru/en/aircraft/lineup/lineup/su-34/,air,Su-34E export analogue,The UAC page labels the table Su-34E and marks it export; it is used together with the ROSOBORONEXPORT Su-34E sheet. Russian service Su-34 is not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/uac/p5-ru-air-su34e-uac/manifest.md
p5-ru-air-su35-roe,A,ROSOBORONEXPORT,,Su-35,https://roe.ru/pdfs/pdf_4667.pdf,air,Su-35 / Su-35S,Su-35 export technical sheet used for the Su-35S leaf's common official performance and propulsion fields; the separate secondary package supplies the approximate Su-35S empty mass.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-air-su35-roe/manifest.md
p5-ru-air-su35-uac,B,"United Aircraft Corporation (UAC), Russia",,Su-35,https://uacrussia.ru/en/aircraft/lineup/military/su-35/,air,Su-35 / Su-35S,UAC Su-35 family data used for the Russian Su-35S research record's common airframe and performance fields. The separate Tier C package remains the source for approximate Su-35S empty mass.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/uac/p5-ru-air-su35-uac/manifest.md
p5-ru-air-su35s-defencesecurityasia,C,Defence Security Asia,Defence Security Asia editorial staff,Russia Defies Sanctions as UAC Delivers Seventh Su-35S Batch to VKS in Record-Breaking 2025 Fighter Production Surge,https://defencesecurityasia.com/en/russia-su-35s-seventh-batch-delivery-record-2025-fighter-production,air,Su-35 / Su-35S,"The article carries an explicit Su-35S designation block, which is the variant the leaf records.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/defence_security_asia/p5-ru-air-su35s-defencesecurityasia/manifest.md
p5-ru-air-su57-redstar,C,RedStar.gr aviation reference,,Su-57 Multiple role stealth fighter,https://www.redstar.gr/en/russian-aerial-means/aircraft/sukhoi/su-57-multiple-role-stealth-fighter.html,air,Su-57,"Public Su-57/PAK FA baseline profile; the article's early development narrative and the later production aircraft share one named Su-57 profile, so prototype-history claims are not used as current inventory claims. Su-57E export data is excluded.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-ru-air-su57-redstar/manifest.md
p5-ru-air-su57-uac,A,United Aircraft Corporation,,Su-57,https://uacrussia.ru/en/aircraft/lineup/military/su-57/,air,Su-57,Russian Su-57 fifth-generation multirole aviation complex; export Su-57E is excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/uac/p5-ru-air-su57-uac/manifest.md
p5-ru-air-tu160m-19f45,C,19FortyFive,19FortyFive editorial staff,Russia's New Tu-160M Supersonic Bomber Has a Message for the U.S. Air Force,https://www.19fortyfive.com/2025/05/russias-new-tu-160m-supersonic-bomber-has-a-message-for-the-u-s-air-force,air,Tu-160 / Tu-160M,"The article covers the Tu-160M modernization, including the NK-32-02 engine fit reported by the United Aircraft Corporation press office.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/19fortyfive/p5-ru-air-tu160m-19f45/manifest.md
p5-ru-air-tu160m-mod,A,Russian Ministry of Defence,,,https://eng.mil.ru/print?print=1&id=41f87688-44a0-48ed-a5cc-c21cc98c7b06&filler=ssp-news.one,air,Tu-160 / Tu-160M,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/russian_ministry_of_defence/p5-ru-air-tu160m-mod/manifest.md
p5-ru-air-tu160m-rostec,A,Rostec / United Engine Corporation,,Tu-160M Makes First Flight with New Engines,https://rostec.ru/en/media/news/tu-160m-makes-first-flight-with-new-engines/,air,Tu-160 / Tu-160M,"Tu-160M modernization context. It is used for the variant-specific engine and systems boundary, while the named secondary package supplies the public platform figures.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/rostec/p5-ru-air-tu160m-rostec/manifest.md
p5-ru-air-tu95ms-redstar,C,RedStar.gr aviation reference,,Tu-95MS Strategical bomber,https://www.redstar.gr/en/russian-aerial-means/aircraft/tupolev/tu-95ms-strategical-bomber.html,air,Tu-95 / Tu-95MS,"Tu-95MS missile-carrier bomber; Tu-95M, Tu-142 and Tu-95MSM upgrade-specific values are excluded unless the page explicitly names the MS configuration.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-ru-air-tu95ms-redstar/manifest.md
p5-ru-ground-bm21-fas,B,Federation of American Scientists document archive,,BM-21 122-mm Multiple Rocket Launcher,https://man.fas.org/dod-101/sys/land/row/bm-21.htm,ground,BM-21 Grad,Standard 9K51/BM-21 context; later rockets and derivative launchers are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/fas/p5-ru-ground-bm21-fas/manifest.md
p5-ru-ground-bm21-wikipedia,C,Wikipedia community reference,,BM-21 Grad,https://en.wikipedia.org/wiki/BM-21_Grad,ground,BM-21 Grad,"Standard BM-21 on the ZiL-375 6x6 chassis; BM-21U, Grad-1 and Tornado-G are excluded.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/wikipedia/p5-ru-ground-bm21-wikipedia/manifest.md
p5-ru-ground-bmp1-mcia,B,U.S. Marine Corps Intelligence Activity,,"Georgia handbook, Appendix A-14 BMP-1 entry",https://info.publicintelligence.net/MCIA-GeorgiaHandbook.pdf,ground,BMP-1,"Generic amphibious BMP-1 entry (3 crew, 6-8 passengers, 13,500 kg, 6.7 x 2.9 x 2.2 m, 80 km/h and 550-600 km); not a replacement for the Valka Object 765 subseries data.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/ntis/p5-ru-ground-bmp1-mcia/manifest.md
p5-ru-ground-bmp1-valka,C,Valka.cz,"Valka.cz armor database; technical entry by user `Cichy`, expanded by moderator Martin Smisek",SOV - BMP-1 (pasove BVP) technical data,https://www.valka.cz/SOV-BMP-1-pasove-BVP-t29228,ground,BMP-1 (Object 765 Sp2-Sp4),"Soviet baseline BMP-1 with 2A28 Grom turret; Sp1-Sp4 production, Czech/Polish BVP-1 licensing, BMP-1P Fagot/Konkurs and 30/40 mm retrofit turrets are not merged.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/valka/p5-ru-ground-bmp1-valka/manifest.md
p5-ru-ground-bmp2-armyguide,C,Army Guide,no individual author named; Army Guide editorial desk,BMP-2 Infantry fighting vehicle,https://www.army-guide.com/eng/product.php?printmode=1&prodID=119,ground,BMP-2,"Kurganmashzavod baseline BMP-2 product entry; Improved, BMP-2D, BMP-2K and other retrofit variants are excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_guide/p5-ru-ground-bmp2-armyguide/manifest.md
p5-ru-ground-bmp2-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team (page metadata lists Administrator),BMP-2 Russia/Ukraine infantry fighting vehicle technical data sheet,https://www.armyrecognition.com/military-products/army/infantry-fighting-vehicles/tracked-vehicles/bmp-2-russia-uk,ground,BMP-2,"Baseline BMP-2; BMP-2D, BMP-2K, BMP-2M and product-improved variants are not merged.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-ru-ground-bmp2-armyrecognition/manifest.md
p5-ru-ground-bmp2-roe,C,Rosoboronexport,no individual author named; Rosoboronexport product-page/editorial team,BMP-2 infantry fighting vehicle product description,https://roe.ru/eng/catalog/land-forces/armored-combat-vehicles/bmp-2/,ground,BMP-2,"Historical baseline BMP-2 exporter/product pointer; BMP-2D, BMP-2K, BMP-2M and retrofit packages excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-ground-bmp2-roe/manifest.md
p5-ru-ground-t72a-mcia,B,U.S. Marine Corps Intelligence Activity / Institute for Defense Analyses,,"Georgia handbook, Appendix A-12 T-72 entry",https://info.publicintelligence.net/MCIA-GeorgiaHandbook.pdf,ground,T-72 family (T-72 entry; used as historical cross-check for T-72A),Generic T-72 entry in the Georgia handbook and associated MCIA technical-study material; not a substitute for T-72A-specific serial data.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/ntis/p5-ru-ground-t72a-mcia/manifest.md
p5-ru-ground-t72a-valka,C,Valka.cz,"Valka.cz armor database; technical entry by user `buko1`, updated/annotated by moderator Martin Smisek",SOV - T-72A (pásové tanky) technical data,https://www.valka.cz/T-72A-t40101,ground,T-72A (Object 172A),"Base serial-production T-72A, 1979-1985; page notes that later modernization after 1980 is not part of the base data. Gun-forward/rear, side-skirt, deep-fording and V-84 overhaul alternates are retained as separate bounds.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/valka/p5-ru-ground-t72a-valka/manifest.md
p5-ru-ground-t72b3-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team (page metadata lists Administrator),T-72B3 Russia/Ukraine main battle tank technical data sheet,https://www.armyrecognition.com/military-products/army/main-battle-tanks/main-battle-tanks/t-72b3-russia-uk,ground,T-72B3,T-72B3 modernization described on the page; Model 2016 and T-72B3M are not merged into this leaf.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-ru-ground-t72b3-armyrecognition/manifest.md
p5-ru-ground-t72b3-roe,C,Rosoboronexport,no individual author named; Rosoboronexport product-page/editorial team,T-72B3 main battle tank product description,https://roe.ru/eng/catalog/land-forces/main-battle-tanks/t-72b3/,ground,T-72B3,"Historical T-72B3 modernization exporter/product pointer; not merged with T-72B, T-72B3M or Model 2016.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-ground-t72b3-roe/manifest.md
p5-ru-ground-t90m-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team (page metadata lists Administrator),T-90M Model 2017 Proryv-3 main battle tank technical data sheet,https://www.armyrecognition.com/military-products/army/main-battle-tanks/main-battle-tanks/t-90m-model-2017-mbt-main-battle-tank-technical-data-sheet,ground,T-90M Model 2017 Proryv-3,Russian Army T-90M Model 2017/Proryv-3 description; export T-90MS and T-90AM claims are kept separate.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-ru-ground-t90m-armyrecognition/manifest.md
p5-ru-ground-t90m-roe,C,Rosoboronexport,no individual author named; Rosoboronexport product-page/editorial team,T-90M main battle tank product description,https://roe.ru/eng/catalog/land-forces/main-battle-tanks/t-90m/,ground,T-90M Proryv,"Historical T-90M Proryv exporter/product pointer; not merged with T-90A, T-90AM or T-90MS.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/rosoboronexport/p5-ru-ground-t90m-roe/manifest.md
p5-ru-naval-sovremenny-forecastinternational,C,Forecast International,no individual author named; Forecast International Warships Forecast analyst team,Project 956 (Sovremenny),https://www.forecastinternational.com/archive/disp_pdf.cfm?DACH_RECNO=1255,naval,Project 956 Sovremenny-class destroyer,"Russian Project 956 baseline technical-data table. Project 956A, 956E/EM export ships, Chinese refits and Project 956U are excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/forecast_international/p5-ru-naval-sovremenny-forecastinternational/manifest.md
p5-ru-naval-sovremenny-navalencyclopedia,C,Naval Encyclopedia,no individual author named; Naval Encyclopedia editorial team; revision history is site-maintained,Sovremenny class destroyers (1978),https://naval-encyclopedia.com/cold-war/ussr/sovremenny-class-destroyers.php,naval,Project 956 Sovremenny-class destroyer,"Soviet/Russian Project 956 baseline. Export Project 956E/EM, Chinese modernization and later Project 956U variants are excluded from the extracted baseline.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/naval_encyclopedia/p5-ru-naval-sovremenny-navalencyclopedia/manifest.md
